"Region","2010_overweight_prevalence","2011_overweight_prevalence","2012_overweight_prevalence","2013_overweight_prevalence","2014_overweight_prevalence","2015_overweight_prevalence","2016_overweight_prevalence","2017_overweight_prevalence","2018_overweight_prevalence","2019_overweight_prevalence","2020_overweight_prevalence"
"Global","5.6","5.6","5.6","5.6","5.6","5.6","5.6","5.6","5.7","5.7","5.7"
"WHO Regions","","","","","","","","","","",""
"African Region","4.3","4.1","4.0","4.0","3.9","3.9","3.9","4.0","4.1","4.1","4.2"
"Region of the Americas","7.6","7.7","7.7","7.8","7.8","7.8","7.9","7.9","7.9","8.0","8.0"
"South-East Asia Region","3.2","3.2","3.2","3.2","3.3","3.3","3.3","3.4","3.4","3.3","3.3"
"Eastern Mediterranean Region","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.7","7.7","7.7"
"Europe Region","9.8","9.7","9.5","9.2","8.9","8.7","8.4","8.2","8.1","8.0","7.9"
"Western Pacific Region","6.2","6.3","6.4","6.5","6.6","6.7","6.8","6.9","7.1","7.3","7.5"
"","","","","","","","","","","",""
"World Bank Income 3","","","","","","","","","","",""
"Low income","4.1","4.0","3.8","3.7","3.6","3.6","3.5","3.5","3.6","3.6","3.7"
"Middle Income","5.7","5.7","5.7","5.7","5.7","5.7","5.8","5.8","5.8","5.9","5.9"
"Lower-middle income","4.4","4.4","4.4","4.4","4.4","4.5","4.5","4.5","4.6","4.6","4.6"
"Upper-middle income","8.1","8.2","8.2","8.2","8.2","8.2","8.1","8.2","8.3","8.3","8.4"
"High income","7.0","7.1","7.2","7.3","7.4","7.5","7.6","7.6","7.7","7.8","7.8"
